No.,Abbreviation,Name,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8
19,Tyr(Y),Tyrosine,0.308,0.569,1.1,-0.464,-0.144,-0.354,-1.099,0.162
20,Val(V),Valine,-1.133,-0.893,-0.325,0.303,-0.561,-0.175,-0.02,-0.311
21,Acp,α-Aminocaprylic acid,-0.171,1.546,0.11,0.217,-1.067,0.92,0.802,0.943
22,Aec,(S)-2-aminoethyl-L-cysteine·HCl,-0.475,0.955,0.251,0.464,0.167,0.757,0.641,-0.283
23,Afa,Aminophenylacetate,-0.226,0.507,1.074,-0.669,-0.487,-0.009,-1.273,-0.666
24,Aib,α-Aminoisobytyric acid,-1.476,-1.115,-0.261,1.11,-1.134,-2.008,-0.609,1.471
25,Ail,Alloisoleucine,-0.826,-0.352,0.041,-0.041,-0.638,1.088,-0.216,-0.17
26,Alg,L-allylglycine,-0.987,-0.561,0.026,-0.181,-0.458,0.077,0.155,-0.197
27,Aba,α-Aminobutyric acid,-1.317,-0.367,-0.523,0.08,-0.308,-0.767,0.344,-0.045
28,Aph,p-Aminophenylalanine,0.332,0.666,1.085,-0.403,-0.258,-0.217,-1.305,-0.064
29,β-Ala,β-Alanine,-1.609,0.168,0.326,0.63,-0.88,-2.191,0.371,1.695
30,Brp,p-Bromophenylalanine,0.528,0.865,2.289,1.35,-0.151,-0.706,-0.509,0.298
31,Cha,Cyclohexylalanine,-0.099,0.303,0.604,0.088,-1.304,2.232,0.074,0.617
32,Cit,Citrulline,-0.078,1.881,-0.57,0.045,0.118,0.125,0.959,1.167
33,Cla,β-Chloroalanine,-1.285,-0.851,-0.003,0.871,0.145,-0.992,0.497,-0.411
34,Cle,Cycloleucine,-0.959,-0.812,0.239,0.749,-1.36,-0.167,-0.759,-0.64
35,Clp,p-chlorophenylalanine,0.403,0.276,1.707,0.15,-0.459,-0.538,-0.331,0.674
36,Cya,Cysteic acid,-0.716,-0.116,-0.902,0.734,1.646,0.843,-0.236,-0.912
37,Dab,"2,4-Diaminobutyric acid",-1.084,0.092,-0.653,-0.224,0.294,0.179,0.304,-0.255
38,Dap,"2,3-diaminopropionic acid",-1.349,-0.651,-0.885,0.026,0.126,-1.274,0.329,0.046
39,Dhp,"3,4-Dehydroproline",-1.015,-0.709,0.08,-0.271,-0.83,-0.942,0.543,-0.929
40,Dha,"3,4-Dihydroxyphenylalanine",0.656,0.114,-0.001,-0.907,1.144,-0.419,-0.287,-0.04
41,Fph,p-Fluorophenylalanine,0.326,0.591,1.023,-0.476,0.107,-0.212,-1.167,0.19
42,Gaa,D-Glucoseaminic acid,0.018,-0.407,-1.366,-0.331,1.855,1.496,-0.42,-0.47
43,Hag,Homoarginine,-0.051,1.502,-0.331,-0.061,-0.103,0.099,1.179,1.307
44,Hly,δ-Hydroxylysine · HCl,-0.306,0.305,-0.534,-0.166,0.463,1.286,0.522,1.146
45,Hnv,DL-β-hydroxynorvaline,-0.818,-0.959,-0.659,-0.288,0.383,0.572,-0.201,-0.807
46,Hog,Homoglutamine,-0.331,0.926,-0.253,-0.025,0.318,1.053,0.56,1.263
47,Hop,Homophenylalanine,0.358,0.912,1.062,-0.239,-0.842,-0.074,-0.638,0.733
48,Hos,Homoserine,-1.095,-0.261,-0.607,-0.246,0.387,-0.13,0.081,-0.09
49,Hpr,Hydroxyproline,-0.766,-0.298,-0.611,-0.527,0.494,-0.066,-0.07,-0.681
50,Iph,p-Iodophenylalanine,0.718,0.34,3.525,2.911,0.094,-1.674,0.628,0.996
51,Ise,Isoserine,-1.59,-0.515,-1.108,-0.028,0.53,-2.653,0.045,1.564
52,Mle,α-Methylleucine,-0.708,-0.341,0.249,0.71,-1.004,1.61,-1.041,-0.191
53,Msm,DL-methionine-s-methylsulfoniumchloride,-0.472,0.178,0.943,0.72,-0.314,1.263,-0.018,-0.041
54,1Nala,β-(1-naphthyl)alanine,1.173,-1.17,0.856,-1.049,0.124,-0.818,-0.499,-0.299
55,2Nala,β-(2-naphthyl)alanine,1.205,-0.577,0.692,-1.033,-0.199,-1.319,-0.351,-0.169
56,Nle,Norleucine(or 2-aminohexanoic acid),-0.708,0.358,0.171,-0.219,-0.533,1.164,0.097,0.436
57,Nma,N-methylalanine,-1.321,-1.039,-0.496,0.229,-0.45,-0.944,0.321,-0.374
58,Nva,Norvaline(or 2-aminopentanoic acid),-1.031,0.089,-0.266,-0.121,-0.266,0.536,0.113,-0.314
59,Obs,O-benzylserine,0.505,0.999,0.513,-0.068,-0.75,-1.172,-0.468,0.473
60,Obt,O-benzyltyrosine,1.758,2.164,0.187,0.547,-0.925,-1.905,-2.421,-1.004
61,Oet,O-ethyltyrosine,0.722,1.552,0.453,-0.037,-0.219,-0.6,-1.716,-0.869
62,Oms,O-methylserine,-1.078,-0.117,-0.519,-0.156,0.396,-0.416,-0.09,-0.255
63,Omt,O-methylthreonine,-0.845,-0.798,-0.779,-0.121,0.402,0.274,-0.163,-1.044
64,Omy,O-methyltyrosine,0.458,0.544,0.866,-0.257,-0.371,-0.503,-1.061,0.03
65,Orn,Ornithine,-0.77,0.334,-0.236,-0.236,-0.056,0.822,0.386,0.363
66,Pen,Penicillamine,-0.925,-1.168,0.265,1.369,-0.523,0.055,-0.092,-1.167
67,Pga,Pyroglutamic acid,-0.833,-0.321,-0.324,-0.473,0.145,-0.209,0.273,-0.842
68,Pip,Pipecolic acid,-0.858,-0.268,0.102,0.063,-0.974,0.595,0.031,-0.819
69,Sar,Sarcosine,-1.588,0.394,0.287,0.513,-0.922,-1.977,0.245,1.171
70,Tfa,"3,3,3-Trifluoroalanine",-1.016,-0.921,-1.395,0.214,2.09,-1.333,-1.456,0.825
71,Thp,6-Hydroxydopa,0.86,-0.246,-0.45,-1.097,1.698,-0.534,-0.466,-0.07
72,Vig,L-vinylglycine,-1.277,-0.573,-0.487,-0.118,-0.18,-1.199,0.36,-0.273
73,Aas,(-)-(2R)-2-amino-3-(2-aminoethylsulfonyl)propanoic acid dihydrochloride,-0.2,0.49,-0.366,0.574,1.289,1.596,0.023,-1.046
74,Ahd,"(2S)-2-amino-9-hydroxy-4,7-dioxanonanoic acid",0.052,2.655,-1.078,0.296,0.404,-1.006,0.049,-0.744
75,Aho,(2S)-2-amino-6-hydroxy-4-oxahexanoic acid,-0.57,1.049,-0.455,-0.22,0.808,-0.052,0.144,0.292
76,Ahs,(-)-(2R)-2-amino-3-(2-hydroxyethylsulfonyl)propanoic acid,-0.211,0.5,-0.434,0.517,1.518,1.499,-0.119,-0.999
77,Ahp,(-)-(2R)-2-amino-3-(2-hydroxyethylsulfanyl)propanoic acid,-0.48,0.962,0.19,0.423,0.426,0.656,0.409,-0.228
78,Ahd,"(2S)-2-amino-12-hydroxy-4,7,10-trioxadodecanoic acid",0.516,4.277,-2.015,0.819,0.27,-1.582,-0.318,-2.1
79,Dad,"(2S)-2,9-diamino-4,7-dioxanonanoic acid",0.043,2.705,-1.133,0.33,0.186,-0.753,0.304,-0.835
80,Dat,"(2S)-2,12-diamino-4,7,10-trioxadodecanoic acid",0.512,4.292,-2.03,0.864,0.213,-1.532,-0.222,-2.221
81,Dfn,"(S)-5,5-difluoronorleucine",-0.364,0.237,-0.305,0.013,1.02,0.884,-1.008,1.725
82,Dfv,"(S)-4,4-difluoronorvaline",-0.693,-0.415,-0.529,-0.074,1.271,0.14,-1.182,0.499
83,Dtc,"(3R)-1-1-dioxo-[1,4]thiaziane-3-carboxylic acid",-0.481,-0.463,-0.288,0.617,0.696,1.379,0.358,-1.559
84,Hfn,"(S)-4,4,5,5,6,6,6-heptafluoronorleucine",0.462,0.094,-1.571,0.756,3.958,0.825,-3.569,2.56
85,Pfn,"(S)-5,5,6,6,6-pentafluoronorleucine",0.17,0.677,-1,0.497,2.984,0.679,-1.998,3.037
86,Pfv,"(S)-4,4,5,5,5-pentafluoronorvaline",-0.109,-0.042,-1.201,0.282,3.106,0.724,-2.726,2.094
87,Tca,"(3R)-1,4-thiazinane-3-carboxylic acid",-0.828,-0.359,0.694,0.76,-0.828,0.527,0.499,-1.373
88,Pyl,Pyrrolysine,0.858,1.385,-1.146,0.517,-1.082,0.715,1.707,-1.107
89,Ath,β-(9-Anthracenyl)alanine,2.049,-2.013,0.2,-0.528,-0.229,-1.617,-0.873,0.237
90,Bal,β-(3-Benzothienyl)alanine,0.817,-0.99,0.846,-0.399,-0.351,0.566,1.491,-0.229
91,Bip,"β-(4,4′-Biphenyl)alanine",1.358,1.094,0.807,-0.04,-1.159,-1.141,-2.037,-1.213
92,Dip,"β,β-Diphenylalanine",1.306,-0.68,1.265,-0.255,-0.828,0.532,-2.079,0.074
93,Tbt,"β-[3-(2,5,7-Tri-tert-butyl-indolyl)]alanine",3.025,-1.714,-3.315,3.518,-3.605,2.459,0.863,5.092
94,Tpc,"β-{3-[2-(2,2,5,7,8-Pentamethyl-chroman-6-sulfonyl)-indolyl]}alanine",4.497,-2.785,-5.946,4.66,-2.052,-1.404,-1.133,-2.607
95,Asu,Aminosuberic acide,0.207,2.374,-0.711,0.463,-0.787,0.412,0.933,1.264
96,Hcy,Homocysteine,-0.947,0.007,0.642,0.678,-0.52,1.203,0.152,-0.936
97,Sta,Statine,-0.104,-0.371,-0.154,0.1,-0.162,1.672,0.052,0.546
98,Thi,β-(2-Thienyl)alanine,-0.517,-0.684,0.68,0.141,-0.371,0.527,0.563,-1.803
99,γ-Abu,L-γ-Aminobutyric acid,-1.265,0.63,0.558,0.201,-0.922,-0.144,0.127,1.15
100,Aca,ε-Aminocaproic acid,-0.625,1.814,0.827,0.302,-1.091,0.89,0.329,1.851
101,Ach,1-Aminocyclohexane-1-carboxylic acid,-0.825,-0.735,0.51,0.909,-2.161,1.442,-0.831,-0.044
102,Afb,β-Amino-β-phenyl-p-nitro-L-butyric acid,0.847,0.047,0.183,0.205,0.311,0.771,-2.003,0.609
103,Aoq,"α-Amino-β-[4-(1,2-dihydro-2-oxo-quinolinyl)] propionic acid",0.964,-0.796,0.371,-0.97,0.303,-0.375,-0.027,0.07
104,Bpa,4′-Benzoylphenylalanine,1.5,1.588,-0.639,0.889,-1.456,0.781,-0.358,-1.763
105,Mas,β-Methyl aspartic aicd,-0.678,-1.02,-0.875,-0.219,0.913,0.566,-0.356,-0.74
106,Ceg,2-Chloroethylglycine,-1,0.201,0.076,0.378,0.274,0.804,0.21,-0.543
107,Cha,β-Cyclohexyl(p-methoxyl)-L-alanine,0.059,0.725,-0.23,0.342,-0.648,1.78,0.267,0.173
108,Dty,"α,β-divinyltyrosine",1,-0.706,0.336,-0.172,-0.142,1.237,-1.373,-0.206
109,Chg,2-L-cyclohexylglycine,-0.374,-0.161,0.315,0.069,-1.12,2.281,-0.187,-0.027
110,Cpa,4-chlorophenylalanine,0.379,0.371,1.655,0.172,-0.654,-0.326,-0.187,0.758
111,Deg,"α,α-Diethyl glycine",-1.011,-1.13,-0.006,0.768,-0.992,0.4,-0.667,-0.636
112,Dmt,"2′,6′-Dimethyltyrosine",0.704,-0.675,0.365,-0.581,0.282,0.896,-0.623,0.136
113,Dvg,Divinyl glycine,-0.659,0.542,0.108,-0.572,-0.074,0.42,0.302,-0.292
114,Gav,2-Guanidine-5-amino-L-n-valeric acid,-0.163,0.266,-0.406,-0.308,0.397,1.666,0.425,0.631
115,Hat,2-Amino-6-hydroxytetralin-2-carboxylic acid,0.743,-0.814,0.342,-0.451,-0.099,0.766,-0.171,-0.687
116,Hai,2-Amino-5-hydroxyindan-2-carboxylic acid,0.512,-0.871,0.283,-1.017,0.462,0.271,-0.252,-0.643
117,Hpp,3-(4′-hyroxyphenyl)proline,0.716,-0.232,0.548,-0.677,-0.039,0.226,-1.271,-0.764
118,Ing,1-Indanylglycine,0.419,-0.482,0.14,-0.629,-0.556,1.61,0.414,-1.101
119,Mhp,p-Methoxyhomophenylalanine,0.698,1.123,0.51,-0.018,-0.476,-0.699,-1.065,0.456
120,Oct,n-Octylglycine,0.182,2.918,-0.655,0.703,-1.481,0.923,0.622,-0.044
121,Oic,Octahydroindole-2-carboxylic acid,-0.001,-0.499,-0.049,-0.548,-0.65,2.018,-0.092,-0.988
122,Pal,β-Pyridylalanine,0.026,-0.322,0.783,-0.813,-0.078,0.148,-0.02,0.31
123,Tic,"1,2,3,4-Tetrahydroisoquinoline-3-carboxylic acid",0.345,-0.315,0.4,-0.847,0.08,0.414,-0.436,-1.33
124,Thz,L-4-Thiazolidine carboxylic acid,-1.036,-0.522,0.513,0.722,-0.722,-0.629,0.754,-1.442
125,Tle,L-tert-butylglycine,-0.945,-1.28,-0.325,0.682,-0.784,0.377,-0.389,-0.578
126,Dpg,Diphenylglycine,1.007,-0.898,1.356,-0.238,-0.628,0.35,-3.165,-0.331
127,Dbz,Dibenzylglycine,1.511,-0.489,1.556,-0.11,-1.827,-0.461,-2.083,1.596
128,β-Phe,β-Phenylalanine,0.059,0.09,1.271,-0.575,-0.416,0.263,-0.963,-0.411
129,α-Abu,α-Aminobutyric acid,-1.31,-0.422,-0.483,0.069,-0.329,-0.822,0.361,-0.168
130,Mpr,3-Methyproline,-0.812,-1.058,-0.53,-0.362,-0.267,0.032,0.138,-1.546
131,Hva,3-Hydroxyvaline,-0.976,-1.107,-0.768,0.503,0.057,-0.338,-0.598,-0.422
132,Dcp,"3,5-Dihydroxy-4-chloro-phenylalanine",0.745,0.152,0.313,-0.04,1.275,-0.533,-0.161,0.227
133,Car,β-Carbonylarginine,0.05,1.189,-0.734,-0.023,0.583,0.41,1.167,0.696
134,Has,β-Hydroxyaspartate,-0.711,-0.836,-1.174,-0.325,1.648,0.169,-0.629,-0.611
135,1Nag,1-Naphthylglycine,0.902,-1.657,0.817,-1.316,0.567,-0.587,-1.376,-1.074
136,2Nag,1-Naphthylglycine,0.987,-0.845,0.83,-1.268,0.429,-1.461,-0.705,-0.625
137,Cpc,1-Aminocyclopropanecarboxylic acid,-1.515,-0.912,0.101,1.005,-2.001,-2.041,0.163,1.894
138,Hyp,4-Hydroxypyrrolidine-2-carboxylic acid,-0.781,-0.541,-0.57,-0.566,0.221,-0.038,0.024,-0.64
139,Aad,2-Aminohexanedioic acid,-0.343,1.195,-0.416,-0.102,0.676,0.93,0.585,1.067
140,Ppa,(S)-2-amino-3-(pyridin-4-yl)propanoic acid,-0.069,0.398,0.791,-0.501,-0.274,0.686,-0.04,0.115
141,Pra,2-Aminopent-4-ynoic acid,-1.051,0.135,-0.151,-0.222,-0.081,0.106,0.434,-0.94
142,Apa,(S)-2-amino-3-(4-cyanopheyl)propanoic acid,0.55,1.03,1.003,-0.375,-0.465,-0.499,-0.811,-0.55
143,Npa,(S)-2-amino-3-(4-nitropheyl)propanoic acid,0.61,0.412,0.726,-0.435,-0.031,-0.311,-1.087,0.227
144,Cpp,(S)-2-amino-3-p-tolylpropanoic acid,0.303,0.211,1.316,-0.295,-0.977,-0.091,-0.609,0.477
145,Npp,(S)-2-amino-3-(4-azidophenyl)propanoic acid,0.784,0.739,0.723,-0.547,-0.165,-0.532,-0.959,-0.22
146,Lpa,(S)-2-amino-3-(3-chlorophenyl)propanoic acid,0.413,-0.045,0.919,-0.307,0.634,0.23,0.455,-0.163
147,Bpp,"(S)-2-amino-3-(3,5-dibromo-4-hydroxyphenyl)propanoic acid",1.073,-0.398,2.077,3.272,2.652,0.181,0.769,0.015
148,Ipp,"(S)-2-amino-3-(4-hydroxy-3,5-diiodophenyl)propanoic acid",1.382,-1.054,4.314,7.008,4.495,-0.535,3.205,-1.168
149,1Fpp,(S)-2-amino-3-(5-fluoro-1H-indol-3-yl)propanoic acid,1.055,-0.363,-0.182,-1.356,0.497,-0.408,1.516,0.575
150,2Fpp,(S)-2-amino-3-(6-fluoro-1H-indol-3-yl)propanoic acid,1.058,-0.5,0.01,-1.349,0.468,-0.526,1.323,0.073
151,Opp,(S)-2-amino-3-(5-hydroxy-1H-indol-3-yl)propanoic acid,1.066,-0.33,-0.159,-1.325,0.409,-0.474,1.286,0.364
152,1Mpp,(S)-2-amino-3-(2-methyl-1H-indol-3-yl)propanoic acid,0.97,-0.989,0.143,-1.102,-0.195,0.354,1.357,0.476
153,2Mpp,(S)-2-amino-3-(4-methyl-1H-indol-3-yl)propanoic acid,1.026,-0.629,-0.163,-1.123,0.259,0.075,1.796,0.17
154,3Mpp,(S)-2-amino-3-(5-methyl-1H-indol-3-yl)propanoic acid,1.054,-0.334,-0.05,-1.208,-0.118,-0.1,1.676,0.403
155,4Mpp,S)-2-amino-3-(6-methyl-1H-indol-3-yl)propanoic acid,1.029,-0.801,0.132,-1.133,-0.202,-0.118,1.63,0.221
156,5Mpp,(S)-2-amino-3-(7-methyl-1H-indol-3-yl)propanoic acid,1.066,-0.231,-0.165,-0.973,-0.015,-0.12,1.451,-0.119
157,1Mop,(S)-2-amino-3-(5-methoxy-1H-indol-3-yl)propanoic acid,1.244,-0.295,-0.407,-0.997,0.139,-0.647,1.321,0.504
158,2Mop,(S)-2-amino-3-(6-methoxy-1H-indol-3-yl)propanoic acid,1.23,0.483,-0.516,-0.961,0.43,-0.634,0.881,-0.87
159,1Npr,(S)-2-amino-3-(4-azido-1H-indol-3-yl)propanoic acid,1.456,-0.738,-0.739,-1.135,0.149,-0.607,1.323,0.958
160,2Npr,(S)-2-amino-3-(5-azido-1H-indol-3-yl)propanoic acid,1.471,-0.396,-0.619,-1.153,0.227,-0.898,1.184,0.493
161,3Npr,(S)-2-amino-3-(6-azido-1H-indol-3-yl)propanoic acid,1.535,0.378,-0.7,-1.082,0.4,-1.081,0.831,-0.46
162,4Npr,(S)-2-amino-3-(7-azido-1H-indol-3-yl)propanoic acid,1.523,0.161,-0.621,-1.102,0.27,-1.098,1.108,-0.336
163,1Cpr,(S)-2-amino-3-(4-chloro-1H-indol-3-yl)propanoic acid,1.106,-0.624,0.212,-0.759,0.765,-0.045,1.799,0.262
164,2Cpr,(S)-2-amino-3-(5-chloro-1H-indol-3-yl)propanoic acid,1.139,-0.361,0.229,-0.835,0.235,-0.261,2.157,0.488
165,3Cpr,(S)-2-amino-3-(6-chloro-1H-indol-3-yl)propanoic acid,1.137,0.04,0.089,-0.857,0.339,-0.339,1.612,-0.239
166,4Cpr,(S)-2-amino-3-(7-chloro-1H-indol-3-yl)propanoic acid,1.122,0.334,0.125,-0.685,0.256,-0.508,1.777,0.037
167,Fpr,(S)-2-amino-3-(2-(difluoromethyl)-1H-indol-3-yl)propanoic acid,1.318,-1.243,-0.239,-0.792,0.529,0.439,0.938,1.657
